timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-07-16T14:12:51,codecarbon,dd04f660-5963-4f19-86b3-2e2124f9d2c5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,61.77288541698363,0.0003738422603951,6.051882761694504e-06,5.4385,0.9476,3.0,7.114041917605816e-05,0.0004682203055663,4.260543909750898e-05,0.0005819661638399,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,1.0,Apple M2 Max,121.2392,24.9604,64.0,process,N,1.0
2025-07-16T14:23:38,codecarbon,92b3b6db-5f64-4494-9dcd-70bf65fe5511,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,59.216987457999494,0.0003893030351733,6.574178320865432e-06,6.7597,0.9621000000000002,20.0,5.6506608836996875e-05,0.0004107704986818,0.0001387570891275,0.0006060341966464,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,1.0,Apple M2 Max,121.2392,24.9604,64.0,process,N,1.0
2025-07-16T14:36:30,codecarbon,0bfdc07e-3118-46c5-984e-95a8a053147a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,24.9089073750074,0.0001671741350471,6.71141983589727e-06,5.3649,0.8335999999999999,6.0,2.9174217673766973e-05,0.0001984227557332,3.2645648611699774e-05,0.0002602426220187,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,1.0,Apple M2 Max,121.2392,24.9604,64.0,machine,N,1.0
2025-07-16T23:46:49,training,9be740a6-2772-48e1-8fc2-69bda4130e02,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.9254648329806514,2.9391303527103298e-08,1.0046712302180555e-08,0.9966000000000004,0.1089,6.0,5.871172688154427e-10,4.3651928478873746e-08,1.514861651230603e-09,4.5753907398919796e-08,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,1.0,Apple M2 Max,121.2392,24.9604,64.0,machine,N,1.0
2025-07-20T21:02:16,defult,9f222791-63c7-46f8-ab0f-64d4b7e92609,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.735978916985914,6.28999721629841e-10,2.2989933062889872e-10,3.7805,0.68,6.0,1.784230059832528e-09,2.6177933252830474e-07,1.031249994412064e-09,2.645948125825494e-07,Canada,CAN,quebec,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,1.0,Apple M2 Max,-71.2,46.8,64.0,machine,N,1.0
2025-07-20T21:03:19,testing,af4f31c0-dda4-4e89-b181-5f03cbeb31d9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.7642986249993555,4.5503949304979167e-10,1.646130012635295e-10,1.0404,0.5031,6.0,2.2962235839804635e-10,1.903225553168159e-07,8.64583319829156e-10,1.9141676099504306e-07,Canada,CAN,quebec,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,1.0,Apple M2 Max,-71.2,46.8,64.0,machine,N,1.0
2025-07-20T21:11:50,testing,40dba1d1-3041-4081-82e3-766c7ad5968b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.7891115419915877,4.615096168899706e-10,1.6546832564481301e-10,0.9453,0.4979,6.0,3.074632906694509e-10,1.928337944875255e-07,9.972233480463423e-10,1.941384811262413e-07,Canada,CAN,quebec,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,1.0,Apple M2 Max,-71.2,46.8,64.0,machine,N,1.0
2025-07-21T10:38:59,codecarbon-training,e288c01a-34d9-4fcd-967e-d67c12b0ea50,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.7726521249860525,7.652519681350877e-08,2.759999933777979e-08,0.8346,0.3024,6.0,3.8576091930735854e-10,1.174842374981381e-07,1.257986684019367e-09,1.1912798510146482e-07,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,1.0,Apple M2 Max,121.2392,24.9604,64.0,machine,N,1.0
2025-07-21T14:58:58,T5-base-training,ced1aa79-8ab1-4d1f-b137-f759beecd724,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,15575.219113792002,0.0956689245496744,6.14238065292826e-06,1.1384,0.7966,6.0,0.0110295954470964,0.1167947026054851,0.0211050310179571,0.1489293290705385,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,1.0,Apple M2 Max,121.2392,24.9604,64.0,machine,N,1.0
2025-07-21T22:57:26,T5-base-testing,0cfe9f72-9a6a-494e-b711-8c244e1df5b3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,28703.609248458,0.056718018558231005,1.975989084413765e-06,0.9388,0.5829,6.0,0.038338222384820604,0.011713143367563407,0.03824247145597447,0.08829383720835864,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,1.0,Apple M2 Max,121.2392,24.9604,64.0,machine,N,1.0
